UF;MUNICIPIO;TOTAL;MUNICIPIO_clean;id_municipio;longitude;latitude
BA;CAPIM GROSSO                       ;8;CAPIM GROSSO;285.0;-40.008951;-11.379659
BA;CASA NOVA                          ;16;CASA NOVA;290.0;-40.973977;-9.164083
BA;CATU                               ;2;CATU;293.0;-38.379108;-12.351274
BA;CENTRAL                            ;1;CENTRAL;295.0;-42.111625;-11.137576
BA;CHORROCHÓ                          ;5;CHORROCHÓ;296.0;-39.097942;-8.969498
BA;COARACI                            ;1;COARACI;299.0;-39.555609;-14.636996
BA;CONCEIÇÃO DA FEIRA                 ;1;CONCEIÇÃO DA FEIRA;301.0;-38.997823;-12.507835
BA;CONCEIÇÃO DO COITÉ                 ;3;CONCEIÇÃO DO COITÉ;303.0;-39.280827;-11.559953
BA;CONCEIÇÃO DO JACUÍPE               ;1;CONCEIÇÃO DO JACUÍPE;304.0;-38.768433;-12.326831
BA;CORAÇÃO DE MARIA                   ;2;CORAÇÃO DE MARIA;308.0;-38.748654;-12.233332
BA;CORIBE                             ;1;CORIBE;310.0;-44.458593;-13.823216
BA;CORONEL JOÃO SÁ                    ;2;CORONEL JOÃO SÁ;311.0;-37.919825;-10.2847
BA;CORRENTINA                         ;1;CORRENTINA;312.0;-44.633335;-13.347674
BA;COTEGIPE                           ;1;COTEGIPE;313.0;-44.256559;-12.022761
BA;CRISTÓPOLIS                        ;1;CRISTÓPOLIS;316.0;-44.421358;-12.224899
BA;CRUZ DAS ALMAS                     ;10;CRUZ DAS ALMAS;317.0;-39.100787;-12.667516
BA;CURAÇÁ                             ;10;CURAÇÁ;318.0;-39.899671;-8.984577
BA;CÂNDIDO SALES                      ;5;CÂNDIDO SALES;281.0;-41.241438;-15.499309
BA;CÍCERO DANTAS                      ;8;CÍCERO DANTAS;297.0;-38.379377;-10.589664
BA;DIAS D´ÁVILA                       ;12;DIAS D´ÁVILA;;;
BA;DOM BASÍLIO                        ;1;DOM BASÍLIO;321.0;-41.767663;-13.756499
BA;DOM MACEDO COSTA                   ;1;DOM MACEDO COSTA;322.0;-39.192259;-12.901582
BA;ENCRUZILHADA                       ;2;ENCRUZILHADA;324.0;-40.912432;-15.530168
BA;ENTRE RIOS                         ;1;ENTRE RIOS;325.0;-38.087125;-11.939164
BA;EUCLIDES DA CUNHA                  ;10;EUCLIDES DA CUNHA;328.0;-39.015286;-10.507754
BA;EUNÁPOLIS                          ;18;EUNÁPOLIS;329.0;-39.582122;-16.371498
